Question,"""Watson!"" Holmes exclaimed, ""This man was obviously killed by _____!"""
Question,_____ ain't nothin' to fuck with.
Question,_____ gives a whole new meaning to _____.
Question,_____ good to the last drop.
Question,"_____ in the front seat; _____ in the back seat; gotta make my mind up, which seat can I take?"
Question,"_____ in the morning, sailors take warning."
Question,_____ is a classic case of _____.
Question,_____ is a gateway to _____.
Question,_____ is a time-saving godsend for busy housewives.
Question,_____ is best enjoyed on the first date.
Question,_____ is dead to me.
Question,_____ is nothing _____ can't fix.
Question,_____ is now outsourced to call centers in India.
Question,_____ is the name of my new indie black metal emo jazz post-dubstep funk band.
Question,_____ is the new black.
Question,_____ is the root of all evil.
Question,"_____ isn't about sex, it's about power."
Question,_____ means never having to say you're sorry.
Question,_____ R Us.
Question,"_____, for the win!"
Question,"_____, fun for the whole family!"
Question,"_____. Because, fuck you, that's why."
Question,_____. I'd hit that.
Question,_____. It's everywhere you want to be.
Question,_____. The Care Bear Stare
Question,_____. The Final Frontier.
Question,_____. The Nicolas Cage Story
Question,_____. The other white meat.
Question,_____: The Other White Meat.
Question,2 things you need to survive on a deserted island
Question,"9 out of 10 doctors agree, _____ twice a day prevents cancer."
Question,A fortune teller told me I will live a life filled with _____.
Question,A hot new alternative medical practice involves placing _____ in _____.
Question,A little-known fact is that Microsoft Windows was originally slated to be the first operating system to include _____.
Question,A little-known provision of Obamacare allows _____ access to _____.
Question,"According to an old Romanian superstition, _____ will happen if you Don't _____ before going to bed."
Question,"After Billy Mays died, he sold God _____."
Question,All the cool kids are doing it.
Question,An international tribunal has found _____ guilty of _____.
Question,"And on his farm he had _____, e-i-e-i-o!"
Question,"And then little Billy woke up the next morning, he discovered that the tooth fairy had left _____ under his pillow."
Question,Apple has revealed they now have a patent for _____.
Question,Ask your doctor if _____ is right for you.
Question,"Back in my day, _____ only cost a nickel."
Question,Bang _____ Marry _____ Kill _____.
Question,Check your privilege. And _____.
Question,Chili’s special tonight: _____ with a side of _____.
Question,Choosy moms choose _____.
Question,"Cirque de Soleil presents MYSTIQUEE, a night of daring acrobatics, whimsy and _____."
Question,Daddy drinks because of _____.
Question,Damn it feels good to be _____.
Question,Danger! _____ ahead!
Question,"Dear Sir or Madam, We regret to inform you that the Office of _____ has denied your request for _____."
Question,Disney presents _____ on ice!
Question,Disney's newest Pixar movie will be about _____.
Question,Every _____ should be required to get a tattoo of _____.
Question,"For campaign funding reform to really be effective, there needs to be a specific policy about _____ contributions."
Question,Fred Phelps and his church have just announced that they plan to start picketing the funerals of _____ as well as gays.
Question,Genius is 10% inspiration and 90% _____.
Question,"Give me liberty, or give me _____!"
Question,Go-go Gadget _____!
Question,Groundbreaking research provides convincing evidence that _____ killed the dinosaurs.
Question,Happiness is _____.
Question,"Hey Rocky, watch me pull _____ out of my _____!"
Question,Horton could hear it through the bedroom wall...his mother and _____.
Question,Horton is always forcing his _____ on other people.
Question,How did this _____ get into my _____?
